,EPA.Parados,EPA.TasadeParo,fechas,EURTOUSD,EURTOGBP,Paro registrado,Paro registrado. Tasa de variación interanual,Parados sector agrícola. Tasa de variación interanual.,Parados sector industria. Tasa de variación interanual,Parados sector construcción. Tasa de variación interanual.,Parados sector servicios. Tasa de variación interanual.,Contratos registrados. Total,Contratos registrados. Total. Tasa de variación interanual,Contratos indefinidos en porcentaje sobre el total,Contratos a jornada parcial en porcentaje sobre el total,Contratos temporales en porcentaje sobre el total,Costelaboral.Total,Costesalarial.Tota,Costesalarial.Total.Servicio,Competitividad de España. Costes totales. Frente a ue28. mensual,Competitividad de España.Costes laborales relativos unitarios totales.ue28.mensual,Competitividad de España. Costes totales.Frente a UM19.mensual
0,11.55,8.17,2002-03-31,0.8758,0.61574,2083103.0,5.15,3.04,6.0,9.48,6.14,1000369.0,-10.4,10.64,19.47,89.36,,,,99.81,102.16,102.49
1,11.15,8.32,2002-06-30,0.95544,0.64405,1962963.0,6.53,3.02,4.22,10.26,7.49,1074375.0,-9.64,8.86,20.27,91.14,,,,100.99,103.41,103.78
2,11.49,8.49,2002-09-30,0.9808,0.63059,2006786.0,6.22,5.88,3.91,9.11,7.64,1186710.0,4.96,8.78,21.41,91.22,,,,102.2,103.1,103.43
3,11.61,8.62,2002-12-31,1.01826,0.64218,2127018.0,6.95,3.06,3.37,15.26,7.81,958337.0,-0.12,8.48,22.22,91.52,,,,101.95,104.07,104.42
4,11.99,8.8,2003-03-31,1.08065,0.68255,2163498.0,3.86,-4.09,0.58,5.26,5.04,1127638.0,12.72,10.27,20.31,89.73,,,,102.31,103.6,103.89
5,11.28,8.86,2003-06-30,1.16628,0.70224,2020367.0,2.92,-8.78,1.34,6.94,4.01,1199220.0,11.62,8.29,20.37,91.71,,,,103.41,104.35,104.64
6,11.3,8.86,2003-09-30,1.1221700000000001,0.69693,2039630.0,1.64,-11.27,-0.56,5.85,2.7,1283644.0,8.17,8.08,22.36,91.92,,,,103.69,104.05,104.35
7,11.37,8.92,2003-12-31,1.22856,0.70196,2181248.0,2.55,-1.38,-1.01,6.96,3.83,1136470.0,18.59,7.94,23.1,92.06,,,,104.37,104.86,105.2
8,11.5,9.08,2004-03-31,1.22617,0.67124,2181546.0,0.83,-0.02,-3.05,3.46,2.55,1420641.0,25.98,10.2,22.19,89.8,,,,104.44,103.68,104.33
9,11.09,9.08,2004-06-30,1.21383,0.66428,2054113.0,1.67,4.93,-2.48,2.98,3.96,1391623.0,16.04,8.43,22.3,91.57,,,,105.05,105.06,105.71
10,10.74,9.07,2004-09-30,1.2217799999999999,0.6813,2050514.0,0.53,4.81,-2.87,1.73,2.35,1475755.0,14.97,8.36,24.18,91.64,,,,105.12,104.86,105.52
11,10.53,9.09,2004-12-31,1.34076,0.695,2112715.0,-3.14,-0.05,-5.32,-5.66,-1.16,1223322.0,7.64,7.49,23.64,92.51,,,,106.0,105.52,106.2
12,10.17,9.02,2005-03-31,1.32007,0.69233,2144835.0,-1.68,5.07,-0.36,3.59,0.14,1307345.0,-7.97,10.76,22.91,89.24,,,,105.7,105.09,105.72
13,9.32,9.07,2005-06-30,1.21649,0.66895,1974860.0,-3.86,10.36,-2.48,-5.48,-2.68,1566969.0,12.6,8.49,22.88,91.51,,,,107.09,106.44,107.12
14,8.41,8.98,2005-09-30,1.22564,0.6776,2013286.0,-1.82,23.51,-1.95,-4.96,-1.33,1617951.0,9.64,8.58,24.53,91.42,,,,107.84,106.21,106.87
15,8.71,8.88,2005-12-31,1.18561,0.6792199999999999,2102937.0,-0.46,29.7,-0.75,-3.01,0.13,1329617.0,8.69,8.16,23.95,91.84,,,,108.09,107.19,107.85
16,9.03,8.72,2006-03-31,1.202,0.68935,2148530.0,0.17,20.27,-3.48,-7.95,0.62,1555516.0,18.98,11.33,22.42,88.67,,,,108.68,107.0,107.63
17,8.44,8.44,2006-06-30,1.265,0.68666,1959754.0,-0.76,8.76,-3.24,-2.31,0.34,1655753.0,5.67,9.21,22.94,90.79,,,,109.53,108.1,108.83
18,8.08,8.23,2006-09-30,1.27274,0.67511,1966166.0,-2.34,1.28,-4.6,-1.37,-1.21,1674735.0,3.51,11.98,24.92,88.02,,,,110.17,107.37,108.17
19,8.26,8.02,2006-12-31,1.32128,0.67286,2022873.0,-3.81,-5.72,-6.36,-3.4,-3.28,1386283.0,4.26,16.96,23.9,83.04,,,,110.4,107.95,108.77
20,8.42,7.77,2007-03-31,1.32419,0.68021,2059451.0,-4.15,-5.73,-6.7,-3.49,-3.91,1564432.0,0.57,12.35,22.91,87.65,,,,111.29,106.79,108.0
21,7.93,7.52,2007-06-30,1.34186,0.67562,1965869.0,0.31,1.97,-4.59,4.6,0.13,1582127.0,-4.45,11.27,23.39,88.73,,,,111.66,107.94,109.17
22,8.01,7.47,2007-09-30,1.38965,0.68887,2017363.0,2.6,5.91,-2.65,10.78,2.36,1595921.0,-4.71,12.05,25.5,87.95,,,,112.44,107.39,108.62
23,8.57,7.35,2007-12-31,1.45704,0.72064,2129547.0,5.27,11.9,-0.77,19.89,4.85,1261319.0,-9.01,10.66,25.29,89.34,,,,112.81,108.7,109.98
24,9.6,7.28,2008-03-31,1.55265,0.77494,2300975.0,11.73,18.27,4.54,44.22,9.41,1285644.0,-17.82,13.08,23.63,86.92,,,,116.08,107.91,109.19
25,10.36,7.42,2008-06-30,1.55528,0.79152,2390424.0,21.6,26.18,13.55,70.69,17.73,1419348.0,-10.29,10.85,25.09,89.15,,,,115.44,109.09,110.41
26,11.23,7.56,2008-09-30,1.43695,0.79924,2625368.0,30.14,31.36,22.0,85.57,24.29,1501595.0,-5.91,11.55,28.59,88.45,,,,115.61,108.22,109.66
27,13.79,8.02,2008-12-31,1.34494,0.9044700000000001,3128963.0,46.93,47.27,42.82,108.1,38.29,1117577.0,-11.4,9.22,27.44,90.78,,,,114.86,108.31,109.79
28,17.24,8.96,2009-03-31,1.30498,0.91966,3605402.0,56.69,64.22,61.74,97.61,48.8,1061112.0,-17.46,11.42,26.47,88.58,,,,114.7,106.82,108.45
29,17.77,9.47,2009-06-30,1.40165,0.8567,3564889.0,49.13,54.04,55.33,65.31,44.47,1274698.0,-10.19,8.45,27.7,91.55,,,,114.5,107.78,109.52
30,17.75,9.73,2009-09-30,1.4561600000000001,0.89135,3709447.0,41.29,48.24,43.33,41.82,39.87,1354836.0,-9.77,9.48,30.88,90.52,,,,114.46,107.28,109.11
31,18.66,9.94,2009-12-31,1.46136,0.8997200000000001,3923603.0,25.4,39.63,23.07,18.9,25.18,1137565.0,1.79,7.54,28.34,92.46,,,,114.23,108.04,109.91
32,19.84,10.03,2010-03-31,1.35685,0.9016,4166613.0,15.57,28.77,7.57,10.26,15.6,1189327.0,12.08,9.92,28.08,90.08,,,,112.67,107.95,109.91
33,19.89,10.09,2010-06-30,1.22085,0.8277100000000001,3982368.0,11.71,30.59,1.76,6.31,12.18,1297611.0,1.8,7.61,29.42,92.39,,,,112.69,108.37,110.41
34,19.59,10.01,2010-09-30,1.3067,0.8398700000000001,4017763.0,8.31,23.09,-0.72,2.75,9.22,1390283.0,2.62,8.78,31.88,91.22,,,,111.54,108.24,110.33
35,20.11,10.0,2010-12-31,1.3220100000000001,0.8481299999999999,4100073.0,4.5,19.5,-3.37,-3.67,5.84,1189818.0,4.59,7.83,28.24,92.17,,,,111.61,108.65,110.8
36,21.08,9.92,2011-03-31,1.39992,0.8665299999999999,4333669.0,4.01,18.85,-3.94,-4.39,5.53,1154903.0,-2.89,9.62,29.94,90.38,,,,110.84,108.59,110.76
37,20.64,9.89,2011-06-30,1.43884,0.88745,4121801.0,3.5,13.69,-2.71,-1.67,5.11,1312519.0,1.15,7.23,31.54,92.77,,,,111.02,108.61,110.85
38,21.28,10.15,2011-09-30,1.377,0.87172,4226744.0,5.2,17.03,-0.06,0.67,6.56,1393728.0,0.25,7.51,33.3,92.49,,,,110.23,108.14,110.4
39,22.56,10.53,2011-12-31,1.3179,0.84405,4422359.0,7.86,15.08,3.63,3.04,10.14,1165465.0,-2.05,5.64,27.79,94.36,,,,109.54,108.03,110.3
40,24.19,10.86,2012-03-31,1.3201,0.8344799999999999,4750867.0,9.63,17.37,6.86,6.27,11.38,1054717.0,-8.67,11.14,33.03,88.86,,,,107.33,107.4,109.65
41,24.4,11.25,2012-06-30,1.25263,0.80579,4615269.0,11.97,15.09,10.19,7.09,14.34,1386339.0,5.62,12.13,37.42,87.87,,,,105.69,107.93,110.22
42,24.79,11.48,2012-09-30,1.28557,0.7982100000000001,4705279.0,11.32,17.03,8.72,3.41,15.71,1274043.0,-8.59,9.24,37.34,90.76,,,,104.13,109.09,111.43
43,25.77,11.78,2012-12-31,1.3119399999999999,0.81237,4848723.0,9.64,28.72,6.59,-2.59,14.58,1058501.0,-9.18,7.31,32.42,92.69,,,,100.91,108.87,111.25
44,26.94,12.02,2013-03-31,1.29636,0.8599600000000001,5035243.0,5.99,27.42,2.63,-6.04,10.89,969627.0,-8.07,10.11,35.8,89.89,,,,104.03,108.29,110.65
45,26.06,12.07,2013-06-30,1.3188799999999998,0.8519100000000001,4763680.0,3.22,23.02,-0.24,-9.47,7.41,1277255.0,-7.87,6.84,36.57,93.16,,,,103.39,108.51,110.9
46,25.65,12.03,2013-09-30,1.33479,0.8417100000000001,4724355.0,0.41,12.62,-2.73,-11.72,3.45,1392429.0,9.29,7.69,37.38,92.31,,,,103.34,108.23,110.65
47,25.73,11.9,2013-12-31,1.37036,0.83639,4701338.0,-3.04,6.49,-6.28,-13.65,-0.73,1290853.0,21.95,6.49,32.03,93.51,,,,102.73,108.09,110.53
48,25.93,11.85,2014-03-31,1.38225,0.8317,4795866.0,-4.75,7.66,-9.39,-17.37,-2.56,1216637.0,25.47,9.33,33.51,90.67,,,,101.63,107.4,109.82
49,24.47,11.64,2014-06-30,1.35924,0.80409,4449701.0,-6.59,11.05,-11.97,-18.56,-4.86,1518873.0,18.92,7.26,36.75,92.74,,,,101.9,107.87,110.35
50,23.67,11.55,2014-09-30,1.29014,0.79113,4447650.0,-5.86,9.98,-11.53,-17.98,-4.18,1634444.0,17.38,8.48,36.95,91.52,,,,101.46,107.45,109.92
51,23.7,11.46,2014-12-31,1.2331299999999998,0.7883,4447711.0,-5.39,6.23,-10.92,-16.79,-3.7,1384062.0,7.22,7.21,33.48,92.79,,,,101.39,106.88,109.33
52,23.78,11.2,2015-03-31,1.0837700000000001,0.72358,4451939.0,-7.17,-2.66,-12.51,-17.94,-5.15,1441775.0,18.5,10.01,35.64,89.99,,,,101.65,106.53,108.91
53,22.37,11.03,2015-06-30,1.12132,0.72078,4120304.0,-7.4,-8.17,-13.65,-18.62,-4.51,1726117.0,13.64,7.35,36.9,92.65,,,,100.67,107.51,109.94
54,21.18,10.71,2015-09-30,1.12212,0.73129,4094042.0,-7.95,-8.75,-13.7,-17.61,-5.23,1795742.0,9.87,8.52,36.8,91.48,,,,100.23,106.11,108.5
55,20.9,10.51,2015-12-31,1.08772,0.72595,4093508.0,-7.96,-8.7,-13.19,-16.54,-5.45,1594915.0,15.23,6.76,33.04,93.24,,,,100.58,106.41,108.83
56,21.0,10.31,2016-03-31,1.1099700000000001,0.7802,4094770.0,-8.02,-6.27,-12.19,-14.96,-6.25,1508881.0,4.65,9.99,36.27,90.01,,,,100.6,105.3,107.67
57,20.0,10.1,2016-06-30,1.12289,0.7904899999999999,3767054.0,-8.57,-6.83,-11.88,-15.49,-7.11,1920340.0,11.25,7.73,36.67,92.27,,,,100.78,106.31,108.7
58,18.91,,2016-09-30,1.12121,0.8522799999999999,3720297.0,-9.13,-8.58,-11.66,-16.23,-7.62,1907000.0,6.2,8.97,38.03,91.03,,,,,,
